485
image_name	category_name
C:\Users\KOH\PycharmProjects\pythonProject1\Mod5_FashionRecommendations-master\K-Fashion 이미지\원천데이터\레트로\(121)IMG_1.jpg	블라우스
C:\Users\KOH\PycharmProjects\pythonProject1\Mod5_FashionRecommendations-master\K-Fashion 이미지\원천데이터\레트로\(211)IMG_1.jpg	블라우스
C:\Users\KOH\PycharmProjects\pythonProject1\Mod5_FashionRecommendations-master\K-Fashion 이미지\원천데이터\레트로\019-286-3,261-39,126-Haemil_194_06.jpg	니트웨어
C:\Users\KOH\PycharmProjects\pythonProject1\Mod5_FashionRecommendations-master\K-Fashion 이미지\원천데이터\레트로\1-(9)-004-271-3031-5163-TOP_179_11.jpg	블라우스
C:\Users\KOH\PycharmProjects\pythonProject1\Mod5_FashionRecommendations-master\K-Fashion 이미지\원천데이터\레트로\1-(9)-005-272-2,351-7,514-FisrtGI_355_02.jpg	블라우스
C:\Users\KOH\PycharmProjects\pythonProject1\Mod5_FashionRecommendations-master\K-Fashion 이미지\원천데이터\레트로\1-bl789(3)-티아라(대행,도트나시bl)6.15-6-허리부분 몸매보정필수!!-IMG_6944.jpg	블라우스
C:\Users\KOH\PycharmProjects\pythonProject1\Mod5_FashionRecommendations-master\K-Fashion 이미지\원천데이터\레트로\1-bl789(3)-티아라(대행,도트나시bl)6.15-6-허리부분 몸매보정필수!!-IMG_7046.jpg	블라우스
C:\Users\KOH\PycharmProjects\pythonProject1\Mod5_FashionRecommendations-master\K-Fashion 이미지\원천데이터\레트로\1-bl789(3)-티아라(대행,도트나시bl)6.15-6-허리부분 몸매보정필수!!-IMG_7145.jpg	블라우스
C:\Users\KOH\PycharmProjects\pythonProject1\Mod5_FashionRecommendations-master\K-Fashion 이미지\원천데이터\레트로\1-bl808(4)-유니(대행,S)6.23-3-IMG_6799.jpg	블라우스
C:\Users\KOH\PycharmProjects\pythonProject1\Mod5_FashionRecommendations-master\K-Fashion 이미지\원천데이터\레트로\1-bl808(4)-유니(대행,S)6.23-3-IMG_6853.jpg	블라우스
C:\Users\KOH\PycharmProjects\pythonProject1\Mod5_FashionRecommendations-master\K-Fashion 이미지\원천데이터\레트로\10.30-bl528(1)-중국 3.3-9-IMG_1657.jpg	블라우스
C:\Users\KOH\PycharmProjects\pythonProject1\Mod5_FashionRecommendations-master\K-Fashion 이미지\원천데이터\레트로\10.30-bl528(1)-중국 3.3-9-IMG_1693.jpg	블라우스
C:\Users\KOH\PycharmProjects\pythonProject1\Mod5_FashionRecommendations-master\K-Fashion 이미지\원천데이터\레트로\10.30-bl528(1)-중국 3.3-9-IMG_1766.jpg	블라우스
C:\Users\KOH\PycharmProjects\pythonProject1\Mod5_FashionRecommendations-master\K-Fashion 이미지\원천데이터\레트로\10.30-bl532(2)-블루샵 3.2_-4-IMG_6540.jpg	블라우스
C:\Users\KOH\PycharmProjects\pythonProject1\Mod5_FashionRecommendations-master\K-Fashion 이미지\원천데이터\레트로\10.30-bl532(2)-블루샵 3.2_-4-IMG_6568.jpg	블라우스
C:\Users\KOH\PycharmProjects\pythonProject1\Mod5_FashionRecommendations-master\K-Fashion 이미지\원천데이터\레트로\10.30-bl533(3)-블루샵 3.2_-6-IMG_6907.jpg	블라우스
C:\Users\KOH\PycharmProjects\pythonProject1\Mod5_FashionRecommendations-master\K-Fashion 이미지\원천데이터\레트로\1103 신규작업-4-output-2-(1733)-1.jpg	블라우스
C:\Users\KOH\PycharmProjects\pythonProject1\Mod5_FashionRecommendations-master\K-Fashion 이미지\원천데이터\레트로\1103 신규작업-4-output-2-(1743)-1.jpg	블라우스
C:\Users\KOH\PycharmProjects\pythonProject1\Mod5_FashionRecommendations-master\K-Fashion 이미지\원천데이터\레트로\1103 신규작업-4-output-2-(1773)-1.jpg	블라우스
C:\Users\KOH\PycharmProjects\pythonProject1\Mod5_FashionRecommendations-master\K-Fashion 이미지\원천데이터\레트로\1103 신규작업-4-output-2-(1783)-1.jpg	블라우스
C:\Users\KOH\PycharmProjects\pythonProject1\Mod5_FashionRecommendations-master\K-Fashion 이미지\원천데이터\레트로\1103 신규작업-4-output-2-(2013)-1.jpg	셔츠
C:\Users\KOH\PycharmProjects\pythonProject1\Mod5_FashionRecommendations-master\K-Fashion 이미지\원천데이터\레트로\1103 신규작업-4-output-2-(2023)-1.jpg	셔츠
C:\Users\KOH\PycharmProjects\pythonProject1\Mod5_FashionRecommendations-master\K-Fashion 이미지\원천데이터\레트로\1103 신규작업-4-output-2-(793)-1.jpg	셔츠
C:\Users\KOH\PycharmProjects\pythonProject1\Mod5_FashionRecommendations-master\K-Fashion 이미지\원천데이터\레트로\1107-14428-14428 (2-1)-20200129-1 (2005).jpg	탑
C:\Users\KOH\PycharmProjects\pythonProject1\Mod5_FashionRecommendations-master\K-Fashion 이미지\원천데이터\레트로\1107-14428-14428 (2-1)-20200129-1 (2015).jpg	탑
C:\Users\KOH\PycharmProjects\pythonProject1\Mod5_FashionRecommendations-master\K-Fashion 이미지\원천데이터\레트로\1107-14428-14428 (2-1)-20200129-1 (2025).jpg	탑
C:\Users\KOH\PycharmProjects\pythonProject1\Mod5_FashionRecommendations-master\K-Fashion 이미지\원천데이터\레트로\1107-14428-14428 (2-1)-20200129-1 (2035).jpg	탑
C:\Users\KOH\PycharmProjects\pythonProject1\Mod5_FashionRecommendations-master\K-Fashion 이미지\원천데이터\레트로\1107-14428-14428 (2-1)-20200129-1 (2045).jpg	탑
C:\Users\KOH\PycharmProjects\pythonProject1\Mod5_FashionRecommendations-master\K-Fashion 이미지\원천데이터\레트로\1107-14428-14428 (2-1)-20200129-1 (2055).jpg	탑
C:\Users\KOH\PycharmProjects\pythonProject1\Mod5_FashionRecommendations-master\K-Fashion 이미지\원천데이터\레트로\1107-14428-14428 (2-1)-20200129-1 (2095).jpg	탑
C:\Users\KOH\PycharmProjects\pythonProject1\Mod5_FashionRecommendations-master\K-Fashion 이미지\원천데이터\레트로\1107-14428-14428 (2-1)-20200129-1 (2105).jpg	탑
